SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GUBUN
SFT0030171,편의점(509010),지에스마포사랑,서울특별시 마포구 마포대로4라길 32,서울특별시 마포구 마포동 292-64,,,14131598.07,4514221.525,편의점
SFT0030176,편의점(509010),씨유홍대학사,서울특별시 마포구 독막로19길 42-18,서울특별시 마포구 상수동 88-5,,,14129113.82,4516019.978,편의점
SFT0030191,편의점(509010),CU,서울특별시 마포구 포은로 27,서울특별시 마포구 합정동 395-1,,,14127345.68,4516075.412,편의점
SFT0030204,편의점(509010),세븐일레븐마포KCC웰츠타워점,서울특별시 마포구 백범로 202,서울특별시 마포구 신공덕동 171,,,14132281.72,4515043.841,편의점
SFT0030211,편의점(509010),이마트,서울특별시 마포구 성미산로 91,서울특별시 마포구 성산동 624-19,,,14128404.99,4517630.041,편의점
SFT0030217,편의점(509010),GS25,서울특별시 마포구 월드컵북로12안길 74,서울특별시 마포구 성산동 49-1,,,14127925.63,4518116.711,편의점
SFT0030230,편의점(509010),CU,서울특별시 마포구 서강로 136,서울특별시 마포구 노고산동 106-5,,,14130426.12,4516615.696,편의점
SFT0030257,편의점(509010),세븐일레븐홍대신화점,서울특별시 마포구 홍익로 10,서울특별시 마포구 서교동 486,,,14129086.12,4516571.275,편의점
SFT0030362,편의점(509010),CU,서울특별시 마포구 서강대길 12,서울특별시 마포구 신수동 27-2,,,14130884.71,4515942.767,편의점
SFT0030392,편의점(509010),세븐일레븐,서울특별시 마포구 성미산로23길 16-5,서울특별시 마포구 연남동 246-19,,,14128823.12,4518087.867,편의점
SFT0030406,편의점(509010),GS25,서울특별시 마포구 연희로1길 45,서울특별시 마포구 연남동 383-38,,,14129327.66,4517598.915,편의점
SFT0030418,편의점(509010),미니스톱상암센트럴점,서울특별시 마포구 월드컵북로 375,서울특별시 마포구 상암동 1654,,,14125422.4,4519896.993,편의점
SFT0030563,편의점(509010),세븐일레븐,서울특별시 마포구 동교로9길 83,서울특별시 마포구 망원동 57-369,,,14127346.98,4517052.164,편의점
SFT0030587,편의점(509010),GS25,서울특별시 마포구 성미산로 60,서울특별시 마포구 성산동 239-1,,,14128105.76,4517354.533,편의점
SFT0030597,편의점(509010),GS25,서울특별시 마포구 성미산로 191,서울특별시 마포구 연남동 226-23,,,14129397.67,4517869.237,편의점
SFT0030621,편의점(509010),세븐일레븐,서울특별시 마포구 월드컵로34길 20,서울특별시 마포구 성산동 593-3,,,14126943.01,4518206.485,편의점
SFT0030753,편의점(509010),GS25,서울특별시 마포구 동교로17안길 51,서울특별시 마포구 서교동 448-25,,,14128529.72,4516971,편의점
SFT0030821,편의점(509010),CU,서울특별시 마포구 새창로 52,서울특별시 마포구 도화동 357,,,14132646.57,4514630.466,편의점
SFT0030832,편의점(509010),이마트,서울특별시 마포구 대흥로24길 24,서울특별시 마포구 염리동 14-149,,,14131669.25,4516648.734,편의점
SFT0030844,편의점(509010),GS25,서울특별시 마포구 월드컵북로 233,서울특별시 마포구 성산동 446,,,14126788.45,4518819.676,편의점
SFT0030915,편의점(509010),GS25,서울특별시 마포구 성미산로1길 71,서울특별시 마포구 성산동 263-3,,,14127143.19,4517568.554,편의점
SFT0030925,편의점(509010),GS25아현시장점,서울특별시 마포구 신촌로30길 5,서울특별시 마포구 아현동 346-33,,,14132253.79,4516993.113,편의점
SFT0030928,편의점(509010),GS25상암타운,서울특별시 마포구 매봉산로2길 45,서울특별시 마포구 상암동 21-3,,,14125987.1,4519888.486,편의점
SFT0030983,편의점(509010),코리아세븐마포중동점,서울특별시 마포구 성암로7길 22,서울특별시 마포구 중동 39-9,,,14127162.9,4518803.811,편의점
SFT0030996,편의점(509010),에이알,서울특별시 마포구 양화로 160,서울특별시 마포구 동교동 165,,,14129077.28,4517015.269,편의점
SFT0031007,편의점(509010),GS25,서울특별시 마포구 방울내로1길 24,서울특별시 마포구 망원동 439-1,,,14126246.18,4517344.195,편의점
SFT0031036,편의점(509010),CU,서울특별시 마포구 잔다리로 125,서울특별시 마포구 서교동 470-17,,,14127903.81,4517166.193,편의점
SFT0031120,편의점(509010),진성수퍼,서울특별시 마포구 월드컵로 207,서울특별시 마포구 성산동 595,,,14126610.39,4518095.027,편의점
SFT0031190,편의점(509010),GS25,서울특별시 마포구 성미산로 33,서울특별시 마포구 성산동 244-9,,,14127771.15,4517307.629,편의점
SFT0031193,편의점(509010),코리아세븐중동성사길점,서울특별시 마포구 성암로3길 27,서울특별시 마포구 중동 355-2,,,14127683,4518613.731,편의점
SFT0031303,편의점(509010),세븐일레븐,서울특별시 마포구 서강로9길 60,서울특별시 마포구 창전동 5-138,,,14129839.32,4516700.103,편의점
SFT0031347,편의점(509010),굿타임,서울특별시 마포구 잔다리로6길 39,서울특별시 마포구 서교동 369-5,,,14128821.09,4516391.097,편의점
SFT0031364,편의점(509010),씨유서교제일,서울특별시 마포구 월드컵북로1길 42,서울특별시 마포구 서교동 375-37,,,14128577.51,4516648.918,편의점
SFT0031496,편의점(509010),CU,서울특별시 마포구 연남로 97,서울특별시 마포구 연남동 480-2,,,14128383.29,4518423.182,편의점
SFT0031563,편의점(509010),수다CUP&TEA,서울특별시 마포구 동교로19길 52,서울특별시 마포구 서교동 449-21,,,14128359.14,4517123.39,편의점
SFT0031565,편의점(509010),해피타임,서울특별시 마포구 독막로3길 33,서울특별시 마포구 서교동 395-68,,,14128359.27,4516013.808,편의점
SFT0031574,편의점(509010),함께커피FARMTOCUP,서울특별시 마포구 월드컵북로 361,서울특별시 마포구 상암동 1653,,,14125453.08,4519860.654,편의점
SFT0031609,편의점(509010),GS25,서울특별시 마포구 숭문길 41,서울특별시 마포구 염리동 82-6,,,14131487.07,4515814.203,편의점
SFT0031617,편의점(509010),CU,서울특별시 마포구 신촌로34길 7,서울특별시 마포구 아현동 330-21,,,14132518.15,4517013.782,편의점
SFT0031697,편의점(509010),미니스톱,서울특별시 마포구 신촌로30길 5,서울특별시 마포구 아현동 346-33,,,14132253.79,4516993.113,편의점
SFT0031712,편의점(509010),CU,서울특별시 마포구 독막로32길 46-12,서울특별시 마포구 신수동 225,,,14130599.48,4515429.698,편의점
SFT0031751,편의점(509010),코리아세븐서강대,서울특별시 마포구 백범로 13,서울특별시 마포구 노고산동 31-90,,,14130616.05,4516531.82,편의점
SFT0031760,편의점(509010),세븐일레븐,서울특별시 마포구 와우산로 63,서울특별시 마포구 서교동 407-3,,,14128988.34,4516086.853,편의점
SFT0031896,편의점(509010),세븐일레븐아현점,서울특별시 마포구 마포대로 213-1,서울특별시 마포구 아현동 613-1,,,14132702.74,4516499.628,편의점
SFT0031913,편의점(509010),아이지에이웍스,서울특별시 마포구 양화로 45,서울특별시 마포구 서교동 490,,,14127994.89,4516258.821,편의점
SFT0031921,편의점(509010),CU,서울특별시 마포구 숭문길 98,서울특별시 마포구 염리동 45,,,14131630.17,4516086.553,편의점
SFT0032096,편의점(509010),CU,서울특별시 마포구 독막로42길 7,서울특별시 마포구 염리동 173-3,,,14131583.04,4515116.962,편의점
SFT0032099,편의점(509010),CU,서울특별시 마포구 토정로 319,서울특별시 마포구 용강동 40-2,,,14131364.56,4514603.439,편의점
SFT0032155,편의점(509010),GS25홍대골목길점,서울특별시 마포구 홍익로5안길 42,서울특별시 마포구 서교동 370-22,,,14128730.68,4516474.822,편의점
SFT0032167,편의점(509010),엘지이십오마포공덕점,서울특별시 마포구 마포대로8길 9,서울특별시 마포구 공덕동 249-12,,,14132445.9,4515574.471,편의점
SFT0032178,편의점(509010),세븐일레븐,서울특별시 마포구 고산길 85,서울특별시 마포구 노고산동 19-32,,,14131067.31,4516735.571,편의점
SFT0032194,편의점(509010),GS25연남공원점,서울특별시 마포구 동교로29길 32,서울특별시 마포구 연남동 257-23,,,14129032.65,4517724.59,편의점
SFT0032213,편의점(509010),세븐일레븐마포망원역점,서울특별시 마포구 월드컵로13길 9,서울특별시 마포구 망원동 378-1,,,14127527.16,4516832.846,편의점
SFT0032215,편의점(509010),CU,서울특별시 마포구 성암로 330,서울특별시 마포구 상암동 1580,,,14124821.13,4520974.52,편의점
SFT0032223,편의점(509010),CU,서울특별시 마포구 마포대로 19,서울특별시 마포구 마포동 34-1,,,14131375.69,4514508.692,편의점
SFT0032256,편의점(509010),미니스톱,서울특별시 마포구 신촌로 270,서울특별시 마포구 아현동 329-1,,,14132643.75,4517049.347,편의점
SFT0032259,편의점(509010),CU,서울특별시 마포구 와우산로23길 14,서울특별시 마포구 서교동 342-12,,,14129169.26,4516572.23,편의점
SFT0032345,편의점(509010),CU,서울특별시 마포구 큰우물로 18,서울특별시 마포구 대흥동 778-1,,,14131026.02,4515249.832,편의점
SFT0032352,편의점(509010),위드미,서울특별시 마포구 신촌로4길 5-18,서울특별시 마포구 동교동 178-13,,,14129709.29,4517056.68,편의점
SFT0032377,편의점(509010),미니스톱,서울특별시 마포구 서강대길 40,서울특별시 마포구 대흥동 804,,,14131014.46,4515944.236,편의점
SFT0032409,편의점(509010),세븐일레븐마포홍익점,서울특별시 마포구 홍익로6길 52,서울특별시 마포구 동교동 164-23,,,14129157.58,4516933.951,편의점
SFT0032448,편의점(509010),CU,서울특별시 마포구 상암산로 48-6,서울특별시 마포구 상암동 1651,,,14125339.88,4519841.594,편의점
SFT0032478,편의점(509010),GS25,서울특별시 마포구 성미산로13길 96,서울특별시 마포구 성산동 610-1,,,14128255.08,4518176.209,편의점
SFT0032489,편의점(509010),지에스25상암8단지,서울특별시 마포구 월드컵로42길 14,서울특별시 마포구 상암동 1674,,,14124463.18,4520017.199,편의점
SFT0032499,편의점(509010),GS25현석리버뷰점,서울특별시 마포구 신수로 5,서울특별시 마포구 현석동 227,,,14130209.2,4514962.255,편의점
SFT0032503,편의점(509010),지에스월드컵경기장역,서울특별시 마포구 월드컵로 240,서울특별시 마포구 성산동 420,,,14126333.21,4518848.497,편의점
SFT0032513,편의점(509010),위드미,서울특별시 마포구 희우정로7길 12,서울특별시 마포구 합정동 443-17,,,14127041.91,4516197.115,편의점
SFT0032534,편의점(509010),GS25센티움점,서울특별시 마포구 월드컵로36길 14,서울특별시 마포구 성산동 590-1,,,14126779.49,4518289.351,편의점
SFT0032657,편의점(509010),세븐일레븐,서울특별시 마포구 신촌로 90,서울특별시 마포구 노고산동 31-11,,,14130465.54,4516807.193,편의점
SFT0032688,편의점(509010),CU,서울특별시 마포구 성지3길 19,서울특별시 마포구 합정동 371-24,,,14128021.39,4515597.467,편의점
SFT0032698,편의점(509010),세븐일레븐,서울특별시 마포구 독막로 270,서울특별시 마포구 대흥동 428-3,,,14131261.97,4515440.992,편의점
SFT0032716,편의점(509010),워드미,서울특별시 마포구 신촌로10길 28,서울특별시 마포구 동교동 190-55,,,14129998.06,4516811.991,편의점
SFT0032717,편의점(509010),GS25,서울특별시 마포구 백범로 35,서울특별시 마포구 신수동 1-1,,,14131235.17,4516259.223,편의점
SFT0032742,편의점(509010),CU,서울특별시 마포구 독막로 282,서울특별시 마포구 대흥동 488-1,,,14131377.6,4515352.476,편의점
SFT0032766,편의점(509010),세븐일레븐,서울특별시 마포구 마포대로 33,서울특별시 마포구 도화동 555,,,14131507.6,4514653.12,편의점
SFT0032770,편의점(509010),CU,서울특별시 마포구 월드컵북로 78,서울특별시 마포구 성산동 209-1,,,14128239.36,4517569.919,편의점
SFT0032806,편의점(509010),세븐일레븐,서울특별시 마포구 토정로31길 23,서울특별시 마포구 용강동 502,,,14131076.81,4514877.223,편의점
SFT0032838,편의점(509010),CU대흥역점,서울특별시 마포구 백범로 96,서울특별시 마포구 대흥동 267-1,,,14131122.8,4515719.005,편의점
SFT0032880,편의점(509010),CU,서울특별시 마포구 효창원로 249,서울특별시 마포구 공덕동 7-137,,,14133504.75,4515973.374,편의점
SFT0032896,편의점(509010),GS25,서울특별시 마포구 잔다리로7안길 4,서울특별시 마포구 서교동 379-1,,,14128337.73,4516463.957,편의점
SFT0032902,편의점(509010),CU,서울특별시 마포구 양화로11길 18,서울특별시 마포구 서교동 380-6,,,14128190.4,4516348.385,편의점
SFT0032915,편의점(509010),GS25,서울특별시 마포구 신촌로4길 18,서울특별시 마포구 동교동 176-1,,,14129580.79,4517055.21,편의점
SFT0032924,편의점(509010),CU,서울특별시 마포구 성미산로32길 47,서울특별시 마포구 연남동 256-6,,,14128970.78,4517846.617,편의점
SFT0032954,편의점(509010),세븐일레븐,서울특별시 마포구 성미산로11길 81,서울특별시 마포구 성산동 21-28,,,14128186.08,4518040.013,편의점
SFT0032973,편의점(509010),GS25,서울특별시 마포구 토정로 192,서울특별시 마포구 구수동 68-8,,,14130025.58,4515381.421,편의점
SFT0033009,편의점(509010),GS25,서울특별시 마포구 동교로3길 105,서울특별시 마포구 망원동 462-5,,,14126334.01,4516727.783,편의점
SFT0033042,편의점(509010),GS25,서울특별시 마포구 양화로10길 15,서울특별시 마포구 서교동 395-171,,,14128377.38,4516192.403,편의점
SFT0033045,편의점(509010),세븐일레븐,서울특별시 마포구 성암로 219-2,서울특별시 마포구 상암동 2-26,,,14125922.88,4520099.085,편의점
SFT0033091,편의점(509010),위드미,서울특별시 마포구 동교로 190,서울특별시 마포구 동교동 158-27,,,14128949.73,4517041.637,편의점
SFT0033094,편의점(509010),위드미,서울특별시 마포구 양화로 188,서울특별시 마포구 동교동 190-1,,,14129448.26,4517076.466,편의점
SFT0033109,편의점(509010),CU,서울특별시 마포구 월드컵로26길 6,서울특별시 마포구 성산동 252-2,,,14127351.8,4517288.827,편의점
SFT0033156,편의점(509010),이지21,서울특별시 마포구 서강로 110,서울특별시 마포구 신수동 66-1,,,14130196.61,4516411.917,편의점
SFT0033173,편의점(509010),미니스톱,서울특별시 마포구 모래내로3길 11,서울특별시 마포구 성산동 593-5,,,14126968.57,4518175.149,편의점
SFT0033201,편의점(509010),GS25,서울특별시 마포구 월드컵북로16길 34,서울특별시 마포구 성산동 13-1,,,14128244.87,4517858.481,편의점
SFT0033258,편의점(509010),CU,서울특별시 마포구 토정로 22,서울특별시 마포구 합정동 213-4,,,14127901.21,4515422.757,편의점
SFT0033263,편의점(509010),미니스톱,서울특별시 마포구 토정로 149,서울특별시 마포구 상수동 50-1,,,14129524.53,4515464.248,편의점
SFT0033320,편의점(509010),위드미,서울특별시 마포구 성암로11길 16,서울특별시 마포구 중동 82-10,,,14126700.36,4519351.42,편의점
SFT0033325,편의점(509010),코리아세븐서교세교길점,서울특별시 마포구 양화로12길 8-5,서울특별시 마포구 서교동 395-138,,,14128424.1,4516292.891,편의점
SFT0033342,편의점(509010),GS25,서울특별시 마포구 마포대로4다길 23-7,서울특별시 마포구 마포동 344,,,14131394.16,4514096.531,편의점
SFT0033353,편의점(509010),CU,서울특별시 마포구 월드컵북로 361,서울특별시 마포구 상암동 1653,,,14125453.08,4519860.654,편의점
SFT0033417,편의점(509010),CU,서울특별시 마포구 포은로 90,서울특별시 마포구 망원동 403-5,,,14127034.13,4516760.034,편의점
SFT0033455,편의점(509010),CU,서울특별시 마포구 매봉산로 31,서울특별시 마포구 상암동 1648,,,14125325.62,4519660.447,편의점
SFT0033531,편의점(509010),지에스현석리버뷰,서울특별시 마포구 신수로 5,서울특별시 마포구 현석동 227,,,14130209.2,4514962.255,편의점
SFT0033560,편의점(509010),CU,서울특별시 마포구 월드컵북로47길 46,서울특별시 마포구 상암동 1637,,,14125405.1,4519546.223,편의점
SFT0033575,편의점(509010),GS25,서울특별시 마포구 성미산로19길 60,서울특별시 마포구 연남동 478-18,,,14128449.12,4518067.1,편의점
SFT0033584,편의점(509010),미니스톱,서울특별시 마포구 잔다리로 12,서울특별시 마포구 서교동 363-12,,,14128873.9,4516179.156,편의점
SFT0033628,편의점(509010),CU,서울특별시 마포구 환일길 39,서울특별시 마포구 아현동 85-814,,,14133232.03,4516715.542,편의점
SFT0033683,편의점(509010),위드미,서울특별시 마포구 서강로20길 14,서울특별시 마포구 노고산동 106-11,,,14130485.76,4516578.418,편의점
SFT0033716,편의점(509010),GS25,서울특별시 마포구 백범로 200,서울특별시 마포구 공덕동 439,,,14132223.98,4515139.337,편의점
SFT0033726,편의점(509010),GS25,서울특별시 마포구 양화로 59,서울특별시 마포구 서교동 393-5,,,14128098.29,4516141.096,편의점
SFT0033737,편의점(509010),CU,서울특별시 마포구 상암산로 76,서울특별시 마포구 상암동 1607,,,14125585.81,4520148.255,편의점
SFT0033743,편의점(509010),세븐일레븐,서울특별시 마포구 마포대로24안길 5,서울특별시 마포구 아현동 743-8,,,14133098.13,4516633.081,편의점
SFT0033772,편의점(509010),GS25서강대후문점,서울특별시 마포구 대흥로 118,서울특별시 마포구 대흥동 38-11,,,14131334.65,4516038.943,편의점
SFT0033773,편의점(509010),GS25,서울특별시 마포구 잔다리로7길 31,서울특별시 마포구 서교동 466-32,,,14128321.33,4516466.298,편의점
SFT0033784,편의점(509010),세븐일레븐마포서교점,서울특별시 마포구 잔다리로 111,서울특별시 마포구 서교동 468-3,,,14128007.72,4517005.445,편의점
SFT0033795,편의점(509010),CU,서울특별시 마포구 월드컵로 190,서울특별시 마포구 성산동 592-6,,,14126807.6,4518039.133,편의점
SFT0033812,편의점(509010),GS25,서울특별시 마포구 독막로8길 27,서울특별시 마포구 합정동 358-2,,,14128443.59,4515582.114,편의점
SFT0033828,편의점(509010),GS25,서울특별시 마포구 잔다리로 40,서울특별시 마포구 서교동 368-9,,,14128593.84,4516322.686,편의점
SFT0033851,편의점(509010),CU,서울특별시 마포구 양화로23길 42,서울특별시 마포구 동교동 150-19,,,14129186.73,4517472.03,편의점
SFT0033857,편의점(509010),GS25,서울특별시 마포구 월드컵로3길 14,서울특별시 마포구 합정동 473,,,14127746.52,4516274.914,편의점
SFT0033859,편의점(509010),GS25마포연남점,서울특별시 마포구 성미산로29안길 25,서울특별시 마포구 연남동 241-87,,,14129052.13,4518225.901,편의점
SFT0033914,편의점(509010),CU연남꿈나무점,서울특별시 마포구 연남로3길 39,서울특별시 마포구 연남동 565-13,,,14128745.2,4517518.826,편의점
SFT0033942,편의점(509010),GS25홍대은혜로점,서울특별시 마포구 독막로19길 12,서울특별시 마포구 상수동 94-12,,,14129258.62,4515805.305,편의점
SFT0034013,편의점(509010),CU마포한강푸르지오점,서울특별시 마포구 월드컵로1길 14,서울특별시 마포구 합정동 472,,,14127784.33,4516055.217,편의점
SFT0034020,편의점(509010),CU,서울특별시 마포구 백범로 8,서울특별시 마포구 노고산동 107-17,,,14130530.75,4516610.559,편의점
SFT0034055,편의점(509010),세븐일레븐,서울특별시 마포구 신촌로 90,서울특별시 마포구 노고산동 57-5,,,14130397.66,4516793.769,편의점
SFT0034081,편의점(509010),CU,서울특별시 마포구 잔다리로 20-10,서울특별시 마포구 서교동 367-39,,,14128772.6,4516224.8,편의점
SFT0034083,편의점(509010),CU,서울특별시 마포구 월드컵로5길 16,서울특별시 마포구 합정동 426-14,,,14127712.14,4516306.144,편의점
SFT0034122,편의점(509010),GS25,서울특별시 마포구 와우산로 167,서울특별시 마포구 동교동 182-8,,,14129863.83,4516872.455,편의점
SFT0034125,편의점(509010),GS25마포풍림점,서울특별시 마포구 마포대로 127,서울특별시 마포구 공덕동 404,,,14132246.27,4515514.044,편의점
SFT0034131,편의점(509010),GS25,서울특별시 마포구 월드컵로23길 25,서울특별시 마포구 망원동 57-376,,,14127309.89,4516990.999,편의점
SFT0034132,편의점(509010),CU,서울특별시 마포구 백범로 64,서울특별시 마포구 신수동 85-68,,,14130769.14,4515913.625,편의점
SFT0034206,편의점(509010),CU합정몬스터점,서울특별시 마포구 어울마당로5길 42-5,서울특별시 마포구 서교동 397-2,,,14128476,4516051.846,편의점
SFT0034290,편의점(509010),CU서강대원룸점,서울특별시 마포구 고산18길 7,서울특별시 마포구 대흥동 18-183,,,14131494.47,4516617.666,편의점
SFT0034293,편의점(509010),CU,서울특별시 마포구 토정로 279-1,서울특별시 마포구 용강동 115-19,,,14130990.61,4514925.584,편의점
SFT0034294,편의점(509010),GS25,서울특별시 마포구 도화4길 88,서울특별시 마포구 도화동 347-60,,,14132076.91,4514430.558,편의점
SFT0034299,편의점(509010),CU,서울특별시 마포구 와우산로3길 21,서울특별시 마포구 상수동 337-2,,,14128865.59,4515473.126,편의점
SFT0034328,편의점(509010),세븐일레븐,서울특별시 마포구 양화로 27,서울특별시 마포구 합정동 383-14,,,14127805.94,4515928.954,편의점
SFT0034329,편의점(509010),씨유연남고가,서울특별시 마포구 연남로 97,서울특별시 마포구 연남동 480-2,,,14128383.29,4518423.182,편의점
SFT0034342,편의점(509010),세븐일레븐홍대기숙사점,서울특별시 마포구 독막로 101,서울특별시 마포구 상수동 141-1,,,14129162.92,4515801.675,편의점
SFT0034346,편의점(509010),GS25,서울특별시 마포구 토정로 320,서울특별시 마포구 용강동 51-8,,,14131333.62,4514553.757,편의점
SFT0034358,편의점(509010),세븐일레븐,서울특별시 마포구 희우정로 77,서울특별시 마포구 망원동 521,,,14126746.24,4516489.704,편의점
SFT0034432,편의점(509010),CU,서울특별시 마포구 희우정로 118,서울특별시 마포구 망원동 418-38,,,14126497.1,4516786.635,편의점
SFT0034485,편의점(509010),CU재화스퀘어점,서울특별시 마포구 독막로 311,서울특별시 마포구 염리동 168-9,,,14131726.91,4515205.868,편의점
SFT0034491,편의점(509010),CU,서울특별시 마포구 와우산로26길 9-19,서울특별시 마포구 창전동 6-148,,,14129476.46,4516479.6,편의점
SFT0034513,편의점(509010),위드미서교점,서울특별시 마포구 동교로12안길 24,서울특별시 마포구 서교동 484-35,,,14127968.21,4516606.439,편의점
SFT0034515,편의점(509010),GS25,서울특별시 마포구 큰우물로 39-4,서울특별시 마포구 대흥동 575,,,14131259.17,4515128.492,편의점
SFT0034536,편의점(509010),GS25,서울특별시 마포구 성암로9안길 28,서울특별시 마포구 중동 77-35,,,14126688.35,4519300.657,편의점
SFT0034543,편의점(509010),인더라인25,서울특별시 마포구 성미산로 199,서울특별시 마포구 연남동 226-15,,,14129460.13,4517805.42,편의점
SFT0034558,편의점(509010),세븐일레븐마포동교로점,서울특별시 마포구 동교로25길 28,서울특별시 마포구 동교동 204-50,,,14128797.78,4517218.29,편의점
SFT0034562,편의점(509010),CU,서울특별시 마포구 와우산로32길 25,서울특별시 마포구 동교동 188-33,,,14129957.55,4516717.901,편의점
SFT0034591,편의점(509010),미니스톱,서울특별시 마포구 마포대로 12,서울특별시 마포구 마포동 136-1,,,14131383.83,4514344.34,편의점
SFT0034599,편의점(509010),크린365편의점,서울특별시 마포구 월드컵로42길 40,서울특별시 마포구 상암동 1680,,,14124297.28,4520297.451,편의점
SFT0034627,편의점(509010),CU,서울특별시 마포구 홍익로3길 25,서울특별시 마포구 서교동 365-10,,,14128872.69,4516505.558,편의점
SFT0034642,편의점(509010),세븐일레븐서울여고점,서울특별시 마포구 백범로25길 25,서울특별시 마포구 염리동 128-53,,,14131666.65,4515639.11,편의점
SFT0034665,편의점(509010),CU,서울특별시 마포구 삼개로 33,서울특별시 마포구 도화동 83,,,14131757.32,4514172.719,편의점
SFT0034732,편의점(509010),지에스편의점상암7단지,서울특별시 마포구 상암산로1길 92,서울특별시 마포구 상암동 1660,,,14124448.13,4520648.579,편의점
SFT0034738,편의점(509010),지에스25상암1단지,서울특별시 마포구 월드컵북로47길 8,서울특별시 마포구 상암동 1634,,,14125700.25,4519524.407,편의점
SFT0034762,편의점(509010),GS25,서울특별시 마포구 월드컵로 64,서울특별시 마포구 서교동 476-14,,,14127706.92,4516759.024,편의점
SFT0034772,편의점(509010),GS25,서울특별시 마포구 월드컵로 212,서울특별시 마포구 성산동 370,,,14126621.3,4518348.236,편의점
SFT0034799,편의점(509010),GS25,서울특별시 마포구 모래내로7길 38,서울특별시 마포구 성산동 137-3,,,14127659.12,4518499.563,편의점
SFT0034807,편의점(509010),GS25,서울특별시 마포구 월드컵북로12길 19,서울특별시 마포구 성산동 114-9,,,14128162.01,4517722.128,편의점
SFT0034848,편의점(509010),GS25,서울특별시 마포구 성미산로 112,서울특별시 마포구 연남동 504-1,,,14128620.39,4517745.145,편의점
SFT0034851,편의점(509010),GS25,서울특별시 마포구 매봉산로2길 19,서울특별시 마포구 상암동 5-1,,,14125899.81,4520024.141,편의점
